index,name,point_lon,point_lat
1,Reiver House,-2.957087905,54.89508354
2,Lloyds Pharmacy,-1.556016545,52.41333182
3,Wilson Hospital,-0.163246205,51.39728813
4,Elland Pharmacy,-1.836387697,53.68635065
5,Pimhole Pharmacy,-2.282893614,53.59301832
6,Health Visitors Office,-1.390811368,50.92596252
7,Community Nurses Office,-2.311574024,51.23731486
8,Drayton Community Pharmacy,-1.045931525,50.84647065
9,The Beauchamp Centre,-4.11422608,50.37798058
10,Ealing Urgent Care Centre,-0.345495479,51.50760566
11,District Nurses Office,-1.432464308,50.92423892
12,District Nurses Office,-2.84291101,53.42096394
13,Warrington Road Children's Centre,-2.713571545,53.3702924
14,Health Visitors Office,-2.455969846,50.61336395
15,Synergise Pharmacy,-1.315990363,54.56133824
16,Verwood Pharmacy,-1.868776581,50.87022121
17,Weldricks Pharmacy,-1.137180764,53.52040016
18,Badham Pharmacy Ltd,-2.082312484,51.90600427
19,Reading Community LD Team,-1.028483415,51.45153417
20,Tesco in-store Pharmacy,-2.119139472,52.80202603
21,Archway Pharmacy,-1.373532833,53.43016369
22,Seaton & District Community Hospital,-3.071506065,50.7118034
23,Bridge Lane Health Centre,-0.166330828,51.47325184
24,Radcliffe Day and Night Pharmacy,-1.039833952,52.94718587
25,Sowerby Bridge Pharmacy,-1.911355578,53.70718297
26,The Cheshire and Merseyside Treatment Centre,-2.695393159,53.32184207
27,Fleetwood Hospital,-3.009078615,53.92675574
28,Leek Pharmacy,-2.007593722,53.11460982
29,Rosebank Pharmacy,-2.791758792,53.99341889
30,All Day Health Centre,-3.096821017,53.36961989
31,Rosebird Centre Pharmacy,-1.698512141,52.17929647
32,Avicenna Pharmacy,-1.908934106,50.74888801
33,Eastham Clinic,-2.966270891,53.31189194
34,Wychwood Pharmacy,-1.596796292,51.86317609
35,Day Lewis Pharmacy,-0.032413198,53.5598175
36,Coleman Health Centre,-1.445502201,52.89488967
37,Anglia Community Eye Service,0.141950598,52.64834219
38,Medicure Pharmacy,-1.178244585,52.61013675
39,The Romford Road Centre,0.006913206,51.54251778
40,District Nurses and Health Visitors,0.158765825,51.46125056
41,Bluedew Pharmacy,-0.036146245,51.58746294
42,Lloyds Pharmacy,-1.959081011,52.35164737
43,Yapton Pharmacy,-0.613245084,50.82208624
44,Fountain Pharmacy,-0.384663469,51.50225268
45,District Nurses,-1.530582423,53.58585415
46,Hillside Centre,-2.723711397,52.04260194
47,Community Nurses Office,-0.173252047,51.52093915
48,Queens Medical Centre,-4.057195962,51.0801607
49,Tanner Street Pharmacy,0.748915053,52.41279342
50,Well Pharmacy,-1.968679381,52.63020542
51,Jhoots Pharmacy,-0.360902093,53.73557016
52,Boots,0.406701078,52.74736436
53,Community Nurses Office,-0.477937912,53.26356124
54,Community Nurses Office,0.016887951,52.80505766
55,Medipharma Chemist,-1.93955545,52.43862894
56,Community Health Services,-0.200031124,51.41930626
57,Oxenhope Pharmacy,-1.951335172,53.81168247
58,Peak Pharmacy,-1.412948329,53.16814486
59,St Bede's Unit,-1.582679425,54.93691532
60,Pitman Pharmacy,-1.965784683,52.4185017
61,Keir Hardie Pharmacy,-3.389572718,51.74637218
62,Continence Office,-0.166595228,51.17295239
63,Gate House Pharmacy,-1.508911184,53.58667504
64,Westerhope Medical Group,-1.691706286,54.9789996
65,Community Nurses Office,-1.609010725,54.99637512
66,The Grove Medical Group,-1.619084655,55.00217621
67,The Park Medical Group,-1.668444246,55.0128704
68,The Arthur Medical Centre,-1.424341591,53.00252032
69,Rowlands Pharmacy,-2.979535878,53.42453254
70,Rowlands Pharmacy,-2.884023401,53.48239983
71,Healthpoint Pharmacy,-2.315323699,52.37586784
72,Boots,-0.425163693,51.5712159
73,Late Night Yew Tree Pharmacy,-1.765788034,52.42090924
74,Adams Pharmacy,-2.078218198,53.49283792
75,Day - Night Pharmacy,-2.209761312,53.06240522
76,The Riverside Pharmacy,-0.406506879,52.99778445
77,Ealing Stop Smoking Service,-0.322501718,51.51258452
78,Sunfield Medical Centre,-1.667382402,53.80668388
79,Hado Pharmacy,1.109723681,52.37826093
80,Culm Valley Integrated Centre for Health,-3.392707482,50.86418085
81,Maltby Pharmacy,-1.204009673,53.42230521
82,Harold Wood Polyclinic,0.225697654,51.5931826
83,Caergwrle Clinic,-3.040564885,53.11012132
84,Boots,1.180691278,52.65383814
85,Peterlee Community Hospital,-1.333038797,54.75406682
86,High Green Pharmacy,-1.491503309,53.47500162
87,Harrogate Pharmacy,-1.53589816,53.99466063
88,Delmergate Pharmacy,0.22618013,51.46159131
89,One Hatfield Hospital,-0.236475733,51.77115558
90,Community Nurses Office,-2.658728223,53.67834849
91,Howitts Pharmacy,-1.139528713,52.60379365
92,Jade Pharmacy,-0.334165216,51.75659919
93,Kamsons Pharmacy,-0.106303437,50.81852073
94,Lloyds Pharmacy,-2.037103739,53.11182392
95,Churchdown Mental Health Centre,0.0046813,51.42634305
96,Nishkam Pharmacy,-1.925519662,52.50117322
97,Tesco in-store Pharmacy,-0.686826644,52.48501022
98,The Bridges Learning Centre,-2.710496732,53.37518268
99,CAMHS,-1.214105446,51.73249801
100,Lansdales Pharmacy,-0.761569484,51.63304679
101,Fleetwood Health Centre Pharmacy,-3.010415734,53.9209561
102,Whitemoor Medical Centre,-1.454757254,53.03148044
103,Wellbrook Medical Centre,-1.629887334,52.87141639
104,Community Nurses,-1.403752619,53.04284094
105,Clay Cross Medical Centre,-1.412199755,53.16808184
106,Ripley Medical Centre,-1.40644231,53.04682763
107,London Road Community Hospital,-1.468648029,52.91431636
108,St Martins Pharmacy,-3.008549586,52.92449543
109,Lemington Walk-in Centre,-1.712424456,54.97673185
110,Schoen Clinic London,-0.150005164,51.51658214
111,Juniper Lodge,-2.45035646,50.71660528
112,Fawdon Park Pharmacy,-1.645197852,55.01392817
113,Riaz Pharmacy,-2.480522532,53.75323918
114,Bellevue Pharmacy,-1.899616234,52.46490663
115,Community Nurses Office,-1.579736792,54.97814332
116,Benfield Park Medical Group,-1.56176609,54.98906296
117,Biddlestone Health Group,-1.577382775,54.98955671
118,Gillingate Pharmacy,-2.748127407,54.32318943
119,Community Nurses Office,1.237277004,52.79478701
120,Sydenham Childrens Centre,-1.512569393,52.27869369
121,Kingsway Childrens Centre,-1.538451849,52.27837418
122,Lillington Childrens Centre,-1.517228012,52.30158871
123,Whitnash Childrens Centre,-1.524601136,52.27476898
124,The Ridings Centre,-1.069772362,54.61773546
125,Peterlee Pharmacy,-1.331837958,54.76283125
126,Paydens Ltd,0.88106283,51.14822001
127,Rigbys Pharmacy,-2.442679292,53.56704253
128,Life Pharmacy,-0.167400633,51.49721563
129,Rowlands Pharmacy,-2.894093132,53.35377361
130,Maple House,-2.298563864,53.5912994
131,Superdrug Pharmacy,-0.098294665,51.51441523
132,Aspire Pharmacy,-2.883681629,53.56768875
133,Camberley Pharmacy,-0.741596807,51.33597349
134,Community Nurses Office,0.456508917,51.7289348
135,Ellesmere Pharmacy,-2.900672184,53.2781482
136,Mental Health Services,-0.225229004,51.49056037
137,Early Intervention Team - Newham,0.044102367,51.53952856
138,Kirkby Community Mental Health Team,-2.879566662,53.48287497
139,Rowlands Pharmacy,-3.217587699,53.2704317
140,Cambridge Road Pharmacy,-2.965049451,53.66177547
141,Total Medcare Pharmacy,0.088350965,51.64610374
142,The Hyde Pharmacy,-0.252040893,51.58754087
143,Rowlands Pharmacy,-1.842472754,50.72954519
144,Armley Moor Pharmacy,-1.593482543,53.7963655
145,Community Nurses Office,-2.711712104,52.05390185
146,Florence Nightingale Child Development Centre,0.132669252,51.76759722
147,Hammersmith Pharmacy,-0.22247893,51.48830657
148,Heysham Primary Care Centre,-2.894059149,54.04171439
149,Maidstone Hospital,0.485489734,51.27448961
150,Park View Medical Centre,-2.935446269,53.4219737
151,Community Health Services,-0.088361688,53.56267569
152,Well Pharmacy,-0.939943894,52.24469824
153,Queen Street Resource Centre,-0.07965124,53.56666066
154,Pilgrim Primary Care Centre,-0.205899382,53.6179216
155,Lloyds Pharmacy,-2.617624746,51.51030265
156,Simpill Ltd,-1.605634683,55.09469708
157,St Lukes Pharmacy,-1.302679493,50.92588064
158,Plymbridge House,-4.123373151,50.41243034
159,Morrab Pharmacy,-5.539016454,50.11707338
160,Drugsmith Pharmacy,-0.271012986,51.40201217
161,Barrow Pharmacy,0.585212264,52.23936014
162,Boots,-3.403504727,53.3367275
163,Grangetown Pharmacy,-1.14634868,54.57599898
164,CAMHS,0.211010874,51.44548323
165,DHC Pain Clinic,-0.333443748,51.22598764
166,Walsall CAMHS,-1.98963315,52.62108448
167,St Bernard's Hospital Site,-0.351075414,51.50671576
168,Community Nurses Office,-2.744191228,52.2261574
169,South Locality Team - City & Hackney,-0.064482339,51.53176635
170,Community Nurses Office,-1.712468081,53.82379478
171,Macmillan Nurses Office,-0.014751325,52.99088052
172,Murrays Healthcare,-2.053111413,52.54062313
173,Dialhouse Pharmacy,-2.134359087,53.39617053
174,Childrens & Family Services,-1.844682076,50.72726491
175,Clay Lane Pharmacy,-1.482731253,52.41221239
176,Attwood Green Pharmacy,-1.908469984,52.4726236
177,Community Health Services,-3.000669432,53.74873084
178,Mangal Pharmacy,0.049422863,51.45472395
179,Eddie Hawker Wing,-1.973116857,50.72198734
180,Care Co-ordination Centre,1.162901508,52.03727936
181,Seamoor Unit,-4.050435538,51.09216599
182,Rowlands Pharmacy,-1.79753234,51.07179959
183,Well Pharmacy,-3.566983107,50.43329452
184,Farah Chemist Ltd,-1.673784393,54.9733365
185,Well Pharmacy,-1.334263899,50.90859879
186,Rackheath Pharmacy,1.381094479,52.66092075
187,Courts Pharmacy,1.404853357,51.33660846
188,Wellesbourne Pharmacy,-1.590020069,52.19525853
189,Newton Pharmacy,-2.063825243,53.46374194
190,Monsell Pharmacy,-1.145661944,52.59061369
191,Staplegrove Pharmacy,-3.129393139,51.02575286
192,Lloyds Pharmacy,-1.152609429,51.89795862
193,Alpha Chemist,0.067136837,51.49044711
194,Walmley Pharmacy,-1.800821199,52.54010845
195,Kesgrave Pharmacy,1.228998792,52.05815909
196,Periville Chemist,-0.066656519,53.5585169
197,Chemilab Pharmacy,-0.40216134,51.69091301
198,Crown Pharmacy,-0.395496288,51.79912967
199,Station Pharmacy New Cross,-0.031916228,51.4761535
200,Margate Pharmacy,1.406236824,51.38259202
201,Woolwich Late Night Pharmacy,0.068781667,51.49034616
202,Buckley Pharmacy,-0.298383485,51.30983444
203,Haddens Pharmacy,-2.987307257,53.44914033
204,J Andersen Pharmacy,0.601152885,50.86882917
205,Ladywell Pharmacy,-0.024910085,51.45698913
206,The Pharmacy,0.719443356,52.07941812
207,New Inn Pharmacy,-3.009483888,51.68987486
208,Cooper & Kime (Cleveland) Ltd,-1.173716393,54.57823612
209,Worksop Pharmacy,-1.124541622,53.30199899
210,Brian H Donlon Pharmacy,-2.656561236,53.46831966
211,Barrow Pharmacy,-0.380658849,53.67562573
212,Ponda's Chemist,-2.528585512,53.19150532
213,Atlas Pharmacy,-2.724275235,53.45516077
214,Vincent Smith Pharmacy,-2.356977989,53.49186245
215,Z A Akram Ltd,-1.796859534,53.6383401
216,Drake Pharmacy,-2.982974708,53.45635817
217,Strachans Chemist,-2.289937937,53.60196187
218,Ware Cross Pharmacy,-0.013625974,51.7765274
219,Larvic Pharmacy,-1.991677157,52.57473604
220,Medipharmacy,-0.230690614,51.41012501
221,Centrechem,-1.603407534,54.87331894
222,Hermans Pharmacy,-0.478599149,51.45392571
223,Community Paediatrics,-1.68535943,52.77622308
224,Congleton Pharmacy,-2.216792006,53.16376167
225,Rohpharm Pharmacy,0.01878118,51.53125317
226,Canna Pharmacy,-3.198071066,51.4821745
227,Girlington Pharmacy,-1.788212283,53.80305705
228,G Gouldings Ltd,-1.793090193,52.48840766
229,Hanover Medical Centre,-1.483628586,53.37518516
230,Cohens Chemist,-2.212058316,53.53326765
231,Peak Pharmacy,-1.370783752,53.25609016
232,Bowness Pharmacy,-2.224427912,53.5537466
233,Marlow Bottom Pharmacy,-0.7743108,51.58702574
234,Direct Pharmacy,-0.586109083,51.23794911
235,Stevanage Pharmacy,-0.160541999,51.91612755
236,S & S Chemists,-0.261020438,51.54100421
237,Parmay Pharmacy,-0.204100219,51.48791864
238,John Low Ltd,-1.842614698,54.86812786
239,Island Pharmacy,0.53807579,51.40677621
240,Evergreen Pharmacy,-1.87079068,52.42651832
241,J & L C Clark Chemists,-1.524189585,54.52242457
242,Community Nurses Office,-1.627109168,55.02696701
243,Lloyds Pharmacy,-1.263874636,53.27552366
244,Abbeydale Pharmacy,-1.485424383,53.35463122
245,Prince Pharmacy,-0.157706166,51.50254018
246,Siddique Pharmacy,-1.774666398,53.7864316
247,All Saints Pharmacy,-1.643860828,52.79409574
248,Millstream Pharmacy,-2.150773047,52.59023642
249,Fordingbridge Pharmacy,-1.790825779,50.92735248
250,Meadway Health Centre,-2.344298934,53.413322
251,Community Nursing Office,-2.904362628,54.37475889
252,Clemitsons Chemist,-1.747097126,54.71675104
253,Mariner House,1.146334052,52.05760886
254,Hythe Hospital,-1.4034593,50.85856243
255,St Michael's Hospital,-2.599390774,51.45913078
256,Berwick Maternity Unit,-2.004979449,55.77328492
257,Central Middlesex Hospital,-0.268860116,51.53087788
258,University Hospital of Wales,-3.189845993,51.50715505
259,Community Midwifery,0.709175612,52.23166228
260,Longton Health Centre,-2.135393378,52.99206543
261,Abbey Hulton Health Centre,-2.145168595,53.03266687
262,Learning Disabilities Community Nurses,-2.122167799,52.97804136
263,Smallthorne Health Centre,-2.172694297,53.05099479
264,Trent Vale Health Centre,-2.20046539,52.98831029
265,Downing Close Clinic,-1.745147756,52.37922444
266,Great Oaks Clinic,0.456155191,51.57160742
267,Aveley Clinic,0.256089456,51.49606449
268,Purfleet Care Centre,0.234177899,51.48638491
269,Community Nurses Office,-0.338607105,51.80689088
270,Bethnal Green Health Centre,-0.064255566,51.52691561
271,London Colney Clinic,-0.299659205,51.72284361
272,Mandeville Clinic,-0.339649447,51.73743399
273,Oxhey Drive Health Centre,-0.39020669,51.62574639
274,Principal Health Centre,-0.336362672,51.7523951
275,Durnford Street Clinic,-2.197286221,53.55294151
276,Langley Clinic,-2.213823158,53.557427
277,Colman Road Health Centre,1.260299294,52.62604111
278,Fakenham Health Office,0.855775747,52.82965941
279,Marsh Farm Health Centre,-0.452858864,51.91710504
280,Leagrave Health Clinic,-0.467386808,51.9012451
281,West Mersea Clinic,0.913971701,51.77849087
282,City Community Mental Health Team,1.287993563,52.6216362
283,Greenstead Clinic,0.936247047,51.89164403
284,Community Learning Difficulties Service,-0.142012318,51.53731837
285,Vicarage Field Health Centre,0.081365497,51.53794704
286,Comely Bank Clinic,-0.010089903,51.58283347
287,Community Nurses Office,0.002100103,51.55541452
288,South Forest Centre,0.00348472,51.55475241
289,Stuart Crescent Health Centre,-0.110257865,51.60001019
290,Standon & Puckeridge Health Centre,0.023093933,51.88763008
291,Torbay Hospital,-3.553803862,50.48231611
292,Monkspath Clinic,-1.783889284,52.39077293
293,Oak Tree Lane Health Centre,-1.154515562,53.13410354
294,Devon Health Visiting Service,-3.406718373,50.62646359
295,Bradford Sexual Health,-1.751705323,53.79369354
296,Ashford Unit,-1.525414504,50.9316127
297,Staffa Health Centre,-1.338696678,53.145792
298,Whitwell Health Centre,-1.206351097,53.28428763
299,Pasley Road Health Centre,-1.146741231,52.59128673
300,St Peters Health Centre,-1.119714978,52.63167001
301,Syston Health Centre,-1.072779322,52.70015289
302,Phoenix Children's Resource Centre,0.023975317,51.39582246
303,The Bridge,-1.352644499,50.97123739
304,Edenbridge & District War Memorial Hospital,0.066527303,51.18948946
305,Atkinson Health Centre,-3.228815153,54.11027956
306,Wrose Health Centre,-1.744407779,53.82299697
307,Jordan House,-2.449876753,52.67978699
308,Kamsons Pharmacy,-0.414013415,51.87604459
309,Salus Pharmacy,-2.197777654,53.17265788
310,Currie's Chemists,-1.768080763,53.73793402
311,Windhill Green Medical Centre,-1.766702283,53.83496934
312,Grange Community Clinic,-2.910168156,54.19373227
313,Gresford District Nurses Office,-2.97018033,53.08832519
314,Portland Health Centre,-2.437278187,50.54402273
315,Horn Lane Pharmacy,-0.268992155,51.51409111
316,South Reddish Clinic,-2.157479632,53.42232588
317,Heaton Norris Health Centre,-2.16792993,53.41653199
318,Hollins House,-2.062177632,53.39609886
319,North Reddish Clinic,-2.158473548,53.44555808
320,Dalton Clinic,-3.182273577,54.15831962
321,Southampton Health Care for Homeless People,-1.396300281,50.91411197
322,Firth Park Clinic,-1.447658386,53.41938337
323,Helston Community Hospital,-5.264879126,50.09195528
324,St Just Health Centre,-5.682077357,50.12414672
325,Jasmine Court Independent Hospital,0.021183782,51.69194763
326,Bayswater Pharmacy,-0.188302716,51.51689217
327,Trinity Medical Centre,-1.494831781,53.67994295
328,Kinta House,-2.737472357,54.3128656
329,Community Nurses Office,-1.683197862,55.00594538
330,The Brook Health Centre,-0.99175665,52.12729227
331,Duddon House,-3.216729232,54.12276104
332,Bounds Green Health Centre,-0.127266771,51.60645429
333,Community Nurses Office,-0.050556262,51.5136
334,Gosforth Health Centre,-1.618727801,55.00683894
335,Rossington Pharmacy,-1.086270743,53.48179294
336,Fox View Hub,-1.649151069,53.70398822
337,Coley Clinic,-0.983161022,51.44652814
338,Evans Pharmacy,-0.809318554,53.07747344
339,Community Nurses,-1.106884146,51.62043982
340,Health Visitors Office,-3.217904197,51.40727
341,District Nurses Office,-3.480667315,53.32663434
342,Community Nurses Office,-4.158583882,50.41027639
343,Bicester Community Hospital,-1.158077976,51.89619065
344,Llantwit Major Clinic,-3.480170219,51.40768713
345,Kineton Pharmacy,-1.511387173,52.15678743
346,Morrisons Pharmacy,-1.566484661,55.03645343
347,Yorkshire Smokefree,-1.458209899,53.39125491
348,St Leonard's Community Hospital,-1.856577862,50.81726003
349,Community Nurses,-2.48660267,52.90948702
350,District Nurses Office,-0.654175315,53.56596645
351,Brough Primary Care Contact Centre,-0.572861391,53.72954985
352,Chislehurst Pharmacy,0.055715207,51.40766208
353,St Ann's Hospital,-1.92811706,50.69914495
354,Castle Lodge Independent Hospital,-0.307090992,53.78862145
355,South View - Briardene Unit,-1.292297203,54.5927015
356,The London Clinic - Consulting Rooms,-0.150487268,51.52247083
357,Huntington House,-1.051137425,53.98666216
358,The Chappell Centre,-0.150734416,52.79379609
359,Well Pharmacy,-2.094741743,53.57550983
360,Watford Clinic,-0.404048036,51.65947567
361,Urgent and Emergency Care Centre,-1.342880402,53.41397222
362,Gannow Lane Resource Centre,-2.272392037,53.78969436
363,Health Visitors Office,-3.033028621,53.11699735
364,Motts Pharmacy,1.11071687,52.76268842
365,East Barnet Health Centre,-0.166613444,51.64664795
366,Saffron Walden Community Hospital,0.258811699,52.02411689
367,Llanrumney Clinic,-3.127396133,51.51412031
368,Rusholme Health Centre,-2.226178214,53.45461002
369,Community Services,-0.646220596,53.56824081
370,District Nurse Office,-0.315029915,53.49427745
371,West Kirby Health Centre,-3.182413151,53.37357484
372,Community Nurses,-3.00496635,53.35033026
373,Crabtree Pharmacy,-1.834381632,52.1719691
374,Tynemouth Road Health Centre,-0.068331437,51.58625258
375,Wythenshawe Offices,-2.255273949,53.39062927
376,District Nurses Office,-3.477525166,51.20382832
377,Community Nurses,-1.340690998,52.06032346
378,Queensborough House,-0.51941023,51.8839549
379,Assessment and Rehabilitation Centre,-1.497596721,53.36141111
380,"Bath, North & East Somerset Comm Respiratory Svc",-2.370187154,51.35733137
381,Swindon Community Health Service,-1.806362609,51.59769318
382,Clementhorpe Health Centre,-1.082930422,53.95147801
383,Willows Centre for Health Care,-2.309137119,53.48546125
384,Wickford Health Centre,0.518194527,51.613307
385,Rainham Health Centre,0.196288449,51.51969662
386,Northgate Hospital,1.730506172,52.61719805
387,Community Development,-2.131838551,53.42818425
388,Judds Chemist,-0.265726058,51.58980311
389,Limelight Pharmacy,-2.261751689,53.46136497
390,Saffron Pharmacy,-1.140598244,52.60195846
391,Regent Pharmacy,-0.222664838,51.60921533
392,Kamsons Pharmacy,-0.063236621,51.4132496
393,Integrated Community Services,-0.413171363,53.8527738
394,Salters Meadow Health Centre,-1.933023427,52.68216011
395,Health Visitors,0.279805515,51.21347852
396,Community Nurses Office,-0.804312027,51.82658985
397,District Nurses Office,-0.985446363,52.00171569
398,Community Nurses,-0.668950572,51.79080803
399,Thame Community Hospital,-0.969657113,51.74482503
400,Living Care Pharmacy,-1.546426933,53.7735173
401,West Locality Health Visiting Team,-4.16712616,50.39279164
402,East Hill Pharmacy,-0.184448851,51.45756306
403,Ridgway Pharmacy,-0.219551713,51.42142991
404,Kamsons Pharmacy,-0.194147498,51.3601972
405,Tanna Pharmacy,-0.132722839,51.39986051
406,S G Barai Pharmacy,-0.180908059,51.36988429
407,Saturn Pharmacy,-0.1402878,51.4249471
408,Victoria Chemists,-0.226986063,51.37165181
409,Barkers Chemist,-0.189121965,51.44859784
410,Day Lewis Pharmacy,-0.134206664,51.35341975
411,Haria Pharmacy,-0.248559735,51.41471972
412,R K Pharmacy,-0.15520644,51.37915852
413,R Walji Pharmacy,-0.250515189,51.46330656
414,Northcote Pharmacy,-0.165372071,51.45587224
415,Rowlands Pharmacy,-0.186267259,51.39775642
416,Krystal Pharmacy,-0.165970068,51.47219407
417,Kirkby's Chemist,-0.2005564,51.34400111
418,Jennings Chemist,-0.166451425,51.47203974
419,Mansons Pharmacy,-0.197601482,51.4569297
420,East Chemist,-0.240184489,51.45005892
421,Kamsons Pharmacy,-0.171418283,51.37173473
422,Lafford Chemist,-0.131715848,51.36741051
423,Kamsons Pharmacy,-0.168241931,51.37298725
424,Abbey Pharmacy,-0.184637707,51.41600236
425,Haydons Pharmacy,-0.187559168,51.42082264
426,Fairoak Pharmacy,-0.147115854,51.41972262
