name_id,name,point_lon,point_lat,index
682,Axbridge Pharmacy,-2.817315292,51.28688747,74
692,Torrington Hospital,-4.13696804,50.95472645,76
804,Boots,-0.733159146,53.75280752,95
929,Rowbotham Pharmacy,-0.012833979,53.68364318,108
930,Holme Pharmacy,-0.765927962,53.83685824,109
932,Leven Pharmacy,-0.313856552,53.89042543,110
935,Lloyds Pharmacy,-0.440172046,54.00669114,112
982,Wickham Market Pharmacy,1.362905336,52.15317188,117
1122,Day Lewis Pharmacy,-2.08313771,54.62452196,126
1125,Wolsingham Pharmacy Ltd,-1.883086448,54.7305099,127
1366,Harbury Chemist,-1.455511244,52.23677402,151
1700,Wye Valley Community Nursing,-3.025537157,52.20414833,190
1976,Lloyds Pharmacy,0.049014988,52.45573171,218
2456,Modbury Pharmacy,-3.886152195,50.34907585,292
3293,Boots,-2.527176815,54.32374914,388
3429,Boots,-2.9557907,51.32296141,401
3589,Bampton Pharmacy,-3.48694063,50.99074153,421
4009,Boots,-2.195922392,51.00596904,476
6278,Day Lewis Pharmacy,0.593037424,51.97727628,818
6522,Central Dales Pharmacy,-2.197798162,54.30378481,854
7254,Primary Care Mental Health Team,0.011049615,53.37081103,949
7684,Community Nursing Services,-4.517025691,50.83017111,1001
7700,Boots,-1.568060337,55.14043911,1004
7704,Community Nurses Office,-1.552325754,53.13914549,1005
7819,Brampton Chemist,-0.227101593,52.32365583,1017
7873,Caradon Community Mental Health Services,-4.470588789,50.44388209,1021
7875,St Oswalds Hospital,-1.739182108,53.01317071,1022
7876,Launceston General Hospital,-4.359072361,50.62820869,1023
7893,Grove Road Health Centre,-2.992542122,53.05070426,1028
7894,District Nurses Office,0.817591859,51.66835563,1029
7903,Rainworth Primary Care Centre,-1.118672557,53.11756954,1031
7930,Weldricks Pharmacy,-0.654827476,53.59490042,1034
7957,Boots,-0.108796571,53.20771623,1038
7974,Tenbury Community Hospital,-2.589543594,52.31527492,1040
7981,Rowlands Pharmacy,-2.241129037,51.86931687,1041
8015,Well Pharmacy,-0.468108877,52.65609358,1047
8018,Well Pharmacy,-0.381136242,52.76831818,1049
8032,Gompels Spa Pharmacy,-2.126012268,51.36686762,1050
8033,Asda Pharmacy,-0.780469671,51.61145759,1051
8070,Day Lewis Pharmacy,-3.833755892,51.01785237,1054
8079,Boots,-2.165033851,50.85654596,1057
8117,Boots,-4.14620656,50.37601844,1065
8146,Unidrug Dispensing Chemist,-0.898781719,52.20464528,1069
8167,Boots,-2.809842419,50.94888679,1071
8188,Northgate Hospital,1.728631579,52.61757196,1074
8189,Community Nurses,-1.021070438,54.59281663,1075
8258,Tesco in-store Pharmacy,-3.385711932,50.62705264,1077
8299,Wylam Pharmacy,-1.822366791,54.97634876,1079
8318,Boots,-1.494012216,51.21378289,1080
8319,Mayford House,-1.446533886,54.32837636,1081
8340,St Martins Hospital,1.106171383,51.27685901,1084
8344,Newquay Hospital,-5.074210028,50.41105664,1085
8409,John Grenville House,-0.785899403,50.82642044,1093
8472,Boots,-1.524205272,50.68231587,1099
8517,West Cornwall Hospital,-5.54297636,50.12205627,1101
8554,Gilchrist Birthing Unit,1.139614525,52.32378739,1105
8706,W S & B Rees,-2.738939261,52.22736188,1122
8720,Symm Lane Clinic,-2.352991081,51.63596924,1124
8759,Bishops Castle Community Hospital,-3.000936443,52.49359228,1126
8840,Shaw House,-4.772358711,50.32788206,1132
8846,Hywel Dda Centre - CMHT,-2.679459236,51.64031928,1134
9011,The Mews,-2.759511118,52.70926667,1148
9030,West View Integrated Social & Healthcare Centre,0.674963909,51.06436924,1151
9041,Crediton Hospital,-3.672802245,50.79186089,1154
9086,Rothbury Community Hospital,-1.913914775,55.30677483,1161
9133,Boots,0.338224073,53.14297575,1169
9182,Community Mental Health Services,-1.499707375,50.99163831,1177
9215,Boots,1.443039963,52.44966971,1182
9258,Abbey Rise,-4.143891148,50.54765008,1186
9287,David Holland Pharmacy,0.42700171,52.0764368,1189
9397,Community Nurses Offices,-1.779223881,51.17308904,1205
9400,Lloyds Pharmacy,0.275466157,52.4131246,1207
9437,Community Nurses Office,-2.076333284,52.10614819,1210
9487,Health Visitors Office,-0.938821796,52.61808753,1220
9533,Health Visitors Office,-0.797721567,54.13258269,1226
9537,Willows Pharmacy,0.374929427,52.60399757,1227
9580,Health Visitors Office,-0.617278774,54.48391079,1233
9598,Vision Pharmacy,1.16039856,51.11098398,1236
9607,Kamsons Pharmacy,0.08556368,50.97024145,1239
9621,Boots,-4.679142444,50.62239013,1240
9855,Boots,-3.265792909,54.20929111,1266
9923,Hythe Medical Centre,-1.4034593,50.85856243,1279
10055,Boots,-0.98983048,51.14074607,1298
10079,Community Nurses Office,-2.507177122,52.1879309,1302
10132,Community Nurses Office,-2.737490094,51.12584799,1311
10212,Community Nursing Office,-2.922532674,54.89032553,1326
10256,Community Nurses,-2.835051123,52.43931738,1331
10258,Community Nurses Office,0.170148008,52.11539976,1333
10354,Total Health Pharmacy,0.826707589,52.57072348,1348
10375,Grasmere Pharmacy,-3.023167369,54.4603507,1352
10399,Community Nurses Office,-1.748204937,53.34962177,1357
10459,District Nurses Office,-3.234031637,50.97487498,1369
10750,District Nurses Office,-1.968080501,51.71411638,1418
10808,Murrays Healthcare,-2.486776191,52.90944676,1430
10935,"Community Nurses Office, Southwight Locality",-1.162216966,50.65053736,1458
10952,Malmesbury Family Health Centre,-2.094516262,51.57773024,1460
11070,Health Visitors Office,-1.721771266,54.37676746,1479
11150,Community Nurses Office,-1.701539578,54.05365036,1492
11337,Queen Street Pharmacy,0.903650677,51.88881999,1524
11658,Scott Rowe Centre,-2.996268334,50.7838924,1568
11719,Community Nurses Office,-1.960222256,50.60956435,1574
11721,Jubilee Centre,-0.400185282,53.00271605,1575
11890,Haydon Bridge Pharmacy,-2.24750018,54.9736557,1593
12089,Bellingham Practice,-2.257986776,55.14382699,1618
12236,Helmsley Pharmacy,-1.056643435,54.24878232,1638
12307,Cheviot Primary Care Centre,-2.018864145,55.5465965,1648
12568,Rutland Memorial Hospital,-0.737140813,52.67170273,1686
13110,Lakenheath Pharmacy,0.518213065,52.417192,1761
13234,Honiton Hospital,-3.186612456,50.79522256,1778
13433,Keswick Community Hospital,-3.140001454,54.60658361,1803
13730,Castleberg Hospital,-2.292207566,54.06954551,1837
14100,Community Nurses,-0.337911823,53.38569614,1878
14166,Boots,-0.783271972,53.92605153,1890
14504,Health Visitors Office,0.182271825,52.76900194,1950
14540,North Cotswold Hospital,-1.707624354,51.98354014,1953
14625,Health Visitors Office,-2.743598583,54.65613874,1967
14895,District Nurses Office,-1.891454398,52.97608376,2003
14951,Fernhurst Pharmacy,-0.723593974,51.04850702,2012
15810,Well Pharmacy,-2.912182843,54.19195543,2115
15816,Bingham Pharmacy,-0.954068167,52.9520142,2116
